分支,類型,名稱,指令,內容
DEFAULT,TALK,,,當太陽在沙漠的天際線上緩緩落下，一絲絲金色的餘暉投射在廣袤的沙漠上，在漫長的徒步旅程之後，他們決定就地駐紮，趁著天色尚未完全陷入黑暗，搭建起一個簡單的沙漠營地。
DEFAULT,TALK,女主角,,......。
DEFAULT,TALK,男主角,,......。
DEFAULT,TALK,女主角,,......。
DEFAULT,TALK,男主角,,你為什要成為獵人？
DEFAULT,TALK,女主角,,為什要突然這麼問？
DEFAULT,TALK,男主角,,沒、沒啦，好奇問一下。
DEFAULT,TALK,女主角,,我其實也不想當獵人。
DEFAULT,TALK,男主角,,那......？
DEFAULT,TALK,女主角,,但荷包不同意。
DEFAULT,TALK,男主角,,噗哧......哈哈哈哈哈哈。
DEFAULT,TALK,女主角,,笑什麼笑弱雞，你不也一樣嗎?
DEFAULT,TALK,男主角,,並沒有。
DEFAULT,TALK,男主角,,我是要成為神級獵人，並進入頂層的男人。
DEFAULT,TALK,女主角,,......。
DEFAULT,TALK,男主角,,......。
DEFAULT,TALK,女主角,,......。
DEFAULT,TALK,男主角,,別、別沉默這麼久，害我好尷尬。
DEFAULT,TALK,男主角,,哈哈，我知道這個夢想很不切實際。
DEFAULT,TALK,女主角,,不......我不這麼覺得。
DEFAULT,TALK,女主角,,反而我很羨慕你有這麼偉大的夢想。
DEFAULT,TALK,男主角,,是、是嗎？
DEFAULT,TALK,,,男主角尷尬地饒饒頭。
DEFAULT,TALK,男主角,,那妳呢？
DEFAULT,TALK,女主角,,我?
DEFAULT,TALK,男主角,,妳的夢想是什麼？
DEFAULT,TALK,女主角,,......。
DEFAULT,TALK,女主角,,我的人生目標就是找到人生目標。
DEFAULT,TALK,男主角,,我相信妳總有一天也能找到屬於你的夢想並實現它。
DEFAULT,TALK,女主角,,是嗎......謝謝你。
DEFAULT,CHOICE,END,DEFAULT,離開
